URL,Status
"http://afreecatv.co.jp/contact","get failed"
"http://amet.co.jp/contact","filling failed"
"http://4ts.jp/contact","filling failed"
"http://areti.jp/contact","filling failed"
"http://airfolg.jp/contact","filling failed"
"http://about.smartnews.com/contact","filling failed"
"http://active-g.co.jp/contact","contact not found"
"http://221616.com/contact","filling failed"
"http://100banch.com/contact","filling failed"
"http://303books.jp/contact","filling failed"
"http://adguild.co.jp/contact","contact not found"
"http://basefood.co.jp/contact","filling failed"
"http://agent-network.com/contact","filling failed"
"http://artaquarium.jp/contact","filling failed"
"http://axn.co.jp/contact","contact not found"
"http://basicinc.jp/contact","filling failed"
"http://aquwa.co.jp/contact","filling failed"
"http://botchan.tokyo/contact","filling failed"
"http://acuvue.jnj.co.jp/contact","filling failed"
"http://81100.co.jp/contact","filling failed"
"http://auntierosa.com/contact","filling failed"
"http://anshin-kaitai.or.jp/contact","filling failed"
"http://b-h-m.com/contact","filling failed"
"http://c8l.jp/contact","filling failed"
"http://calomeal.com/contact","filling failed"
"http://ainer.co.jp/contact","filling failed"
"http://aerospacebiz.jaxa.jp/contact","filling failed"
"http://acetokyo.com/contact","filling failed"
"http://cafetalk.com/contact","filling failed"
"http://cinnamon.is/contact","filling failed"
"http://artemis-hokkaido.jp/contact","get failed"
"http://companyprofile339.com/contact","get failed"
"http://clagla.jp/contact","filling failed"
"http://cdc.type.jp/contact","filling failed"
"http://ateyakatall.jp/contact","get failed"
"http://cifaka.jp/contact","filling failed"
"http://canon.jp/contact","filling failed"
"http://connehito.com/contact","submit failed"
"http://corp.mihoyo.co.jp/contact","filling failed"
"http://beyondnextventures.com/contact","filling failed"
"http://beautycalendar.jp/contact","get failed"
"http://corp.jac-recruitment.jp/contact","filling failed"
"http://belluna.jp/contact","get failed"
"http://chocolate-inc.com/contact","filling failed"
"http://cmcre.com/contact","contact not found"
"http://corp.en-japan.com/contact","filling failed"
"http://corp.condenast.jp/contact","filling failed"
"http://corp.toei-anim.co.jp/contact","filling failed"
"http://armabianca.com/contact","filling failed"
"http://corporate.pia.jp/contact","filling failed"
"http://crossproducers.com/contact","filling failed"
"http://cospa.jp/contact","filling failed"
"http://akikokitamura.com/contact","filling failed"
"http://balus.co/contact","filling failed"
"http://anymindgroup.com/contact","filling failed"
"http://dr-lululun.com/contact","filling failed"
"http://curations.jp/contact","submit failed"
"http://earthship.co.jp/contact","contact not found"
"http://dining-innovation.com/contact","filling failed"
"http://code.or.jp/contact","submit failed"
"http://corp.every.tv/contact","filling failed"
"http://emuclaret.com/contact","filling failed"
